IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.144.48,2087,true,SIN,Asia Pacific,Singapore,231 ms,2393 kB/s
8.217.164.10,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,2377 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,298 ms,2332 kB/s
8.219.195.47,8443,true,SIN,Asia Pacific,Singapore,237 ms,2297 kB/s
8.219.195.47,2096,true,SIN,Asia Pacific,Singapore,238 ms,2284 kB/s
8.219.222.8,8443,true,SIN,Asia Pacific,Singapore,222 ms,2278 kB/s
47.242.59.216,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,2278 kB/s
8.217.164.10,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,2228 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,315 ms,2167 kB/s
47.242.234.127,2096,true,HKG,Asia Pacific,Hong Kong,65 ms,2166 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,233 ms,2154 kB/s
47.236.10.100,2096,true,SIN,Asia Pacific,Singapore,217 ms,2103 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,223 ms,2073 kB/s
8.217.167.88,2087,true,HKG,Asia Pacific,Hong Kong,58 ms,2041 kB/s
8.219.61.52,2096,true,SIN,Asia Pacific,Singapore,237 ms,1983 kB/s
47.236.121.7,2087,true,SIN,Asia Pacific,Singapore,239 ms,1915 kB/s
8.219.93.5,2087,true,SIN,Asia Pacific,Singapore,226 ms,1640 kB/s
47.236.167.231,8443,true,SIN,Asia Pacific,Singapore,234 ms,1500 kB/s
8.219.61.52,8443,true,SIN,Asia Pacific,Singapore,244 ms,1475 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,236 ms,1452 kB/s
47.236.168.17,2087,true,SIN,Asia Pacific,Singapore,241 ms,1356 kB/s
47.89.191.155,443,true,IAD,North America,Ashburn,261 ms,1305 kB/s
8.219.61.52,2053,true,SIN,Asia Pacific,Singapore,251 ms,1279 kB/s
8.217.145.40,443,true,HKG,Asia Pacific,Hong Kong,54 ms,1216 kB/s
47.76.94.15,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,1209 kB/s
8.210.151.69,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,876 kB/s
8.217.167.88,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,662 kB/s
8.222.225.193,443,true,SIN,Asia Pacific,Singapore,222 ms,611 kB/s
8.219.195.47,443,true,SIN,Asia Pacific,Singapore,225 ms,595 kB/s
47.90.141.204,443,true,LAX,North America,Los Angeles,266 ms,569 kB/s
47.236.14.118,443,true,SIN,Asia Pacific,Singapore,241 ms,569 kB/s
47.242.234.127,443,true,HKG,Asia Pacific,Hong Kong,64 ms,566 kB/s
8.218.156.91,2083,true,HKG,Asia Pacific,Hong Kong,64 ms,524 kB/s
47.242.59.216,2083,true,HKG,Asia Pacific,Hong Kong,70 ms,505 kB/s
47.243.203.119,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,502 kB/s
8.218.156.91,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,464 kB/s
47.76.94.15,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,454 kB/s
8.217.164.10,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,451 kB/s
47.236.93.176,2083,true,SIN,Asia Pacific,Singapore,247 ms,413 kB/s
47.236.113.184,443,true,SIN,Asia Pacific,Singapore,232 ms,412 kB/s
47.76.94.15,2053,true,HKG,Asia Pacific,Hong Kong,66 ms,352 kB/s
47.76.94.15,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,278 kB/s
8.217.145.40,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,275 kB/s
47.242.59.216,8443,true,HKG,Asia Pacific,Hong Kong,60 ms,253 kB/s
8.218.156.91,443,true,HKG,Asia Pacific,Hong Kong,61 ms,223 kB/s
47.236.38.38,443,true,SIN,Asia Pacific,Singapore,224 ms,217 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,81 ms,156 kB/s
47.236.166.131,2053,true,SIN,Asia Pacific,Singapore,223 ms,140 kB/s
8.217.145.40,8443,true,HKG,Asia Pacific,Hong Kong,58 ms,102 kB/s
47.242.59.216,2087,true,HKG,Asia Pacific,Hong Kong,68 ms,86 kB/s
47.254.66.75,80,true,SJC,North America,San Jose,172 ms,60 kB/s
47.88.101.9,80,true,SJC,North America,San Jose,174 ms,48 kB/s
8.218.156.91,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,44 kB/s
47.254.66.75,443,true,SJC,North America,San Jose,173 ms,37 kB/s
47.245.107.174,2096,true,SIN,Asia Pacific,Singapore,245 ms,0 kB/s
8.219.104.242,2083,true,SIN,Asia Pacific,Singapore,225 ms,0 kB/s
8.218.156.91,2087,true,HKG,Asia Pacific,Hong Kong,59 ms,0 kB/s
8.222.215.228,8443,true,SIN,Asia Pacific,Singapore,229 ms,0 kB/s
47.236.121.23,8443,true,SIN,Asia Pacific,Singapore,232 ms,0 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,253 ms,0 kB/s
47.236.110.238,443,true,SIN,Asia Pacific,Singapore,252 ms,0 kB/s
47.236.104.98,2096,true,SIN,Asia Pacific,Singapore,249 ms,0 kB/s
8.219.126.240,2083,true,SIN,Asia Pacific,Singapore,243 ms,0 kB/s
