IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.140.87,2053,true,SIN,Asia Pacific,Singapore,219 ms,4917 kB/s
8.219.0.162,443,true,SIN,Asia Pacific,Singapore,219 ms,4911 kB/s
8.219.222.8,2087,true,SIN,Asia Pacific,Singapore,225 ms,4897 kB/s
47.236.171.205,2096,true,SIN,Asia Pacific,Singapore,228 ms,4892 kB/s
8.219.178.101,8443,true,SIN,Asia Pacific,Singapore,230 ms,4844 kB/s
47.236.144.208,2083,true,SIN,Asia Pacific,Singapore,258 ms,4843 kB/s
8.219.3.53,2087,true,SIN,Asia Pacific,Singapore,230 ms,4840 kB/s
47.236.158.158,8443,true,SIN,Asia Pacific,Singapore,232 ms,4815 kB/s
8.219.139.13,8443,true,SIN,Asia Pacific,Singapore,235 ms,4802 kB/s
47.236.121.7,8443,true,SIN,Asia Pacific,Singapore,226 ms,4795 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,233 ms,4795 kB/s
47.236.171.205,2053,true,SIN,Asia Pacific,Singapore,226 ms,4789 kB/s
47.242.176.237,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,4776 kB/s
8.219.126.240,2087,true,SIN,Asia Pacific,Singapore,244 ms,4745 kB/s
8.219.194.170,2083,true,SIN,Asia Pacific,Singapore,232 ms,4710 kB/s
47.236.172.95,2053,true,SIN,Asia Pacific,Singapore,248 ms,4706 kB/s
47.236.7.106,443,true,SIN,Asia Pacific,Singapore,227 ms,4700 kB/s
8.222.252.150,2087,true,SIN,Asia Pacific,Singapore,222 ms,4691 kB/s
47.236.10.100,8443,true,SIN,Asia Pacific,Singapore,229 ms,4655 kB/s
47.236.164.215,8443,true,SIN,Asia Pacific,Singapore,243 ms,4650 kB/s
8.219.3.53,2096,true,SIN,Asia Pacific,Singapore,223 ms,4638 kB/s
47.236.172.95,2083,true,SIN,Asia Pacific,Singapore,248 ms,4609 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,247 ms,4607 kB/s
8.222.214.231,2083,true,SIN,Asia Pacific,Singapore,238 ms,4606 kB/s
8.219.174.142,2083,true,SIN,Asia Pacific,Singapore,230 ms,4569 kB/s
8.219.174.142,2053,true,SIN,Asia Pacific,Singapore,239 ms,4565 kB/s
47.236.75.113,2053,true,SIN,Asia Pacific,Singapore,227 ms,4556 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,239 ms,4543 kB/s
8.219.0.162,2096,true,SIN,Asia Pacific,Singapore,225 ms,4506 kB/s
47.236.97.90,8443,true,SIN,Asia Pacific,Singapore,226 ms,4489 kB/s
47.236.149.107,8443,true,SIN,Asia Pacific,Singapore,232 ms,4476 kB/s
8.219.145.245,2083,true,SIN,Asia Pacific,Singapore,246 ms,4474 kB/s
47.236.164.215,443,true,SIN,Asia Pacific,Singapore,229 ms,4461 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,231 ms,4446 kB/s
47.242.234.127,2087,true,HKG,Asia Pacific,Hong Kong,65 ms,4430 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,240 ms,4418 kB/s
47.236.149.107,2083,true,SIN,Asia Pacific,Singapore,232 ms,4379 kB/s
